,Mnemonic,SpeciesNANme,OrigiNANlSource,Site,Date,Tag,HeightOfMeasurement,Diameter,Height,CrowNANrea
69,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,10582,NAN,2.1,4.34,NAN
70,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,2933,NAN,89.2,32.69344417,NAN
71,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,513,NAN,41.4,27.5,NAN
72,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,7577,NAN,31.1,24.9,NAN
73,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,5070,NAN,15.9,16.59,NAN
74,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,9865,NAN,1,2.47,NAN
75,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,6811,NAN,3,5.79,NAN
76,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,8612,NAN,1.6,5.24,NAN
77,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,6745,NAN,68.5,30.5,NAN
78,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,315,NAN,31.7,18.54,NAN
79,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,4181,NAN,4.7,10.17,NAN
80,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,2342,NAN,60.4,18.3,NAN
81,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,6728,NAN,4.4,7.24,NAN
82,alsebl,Alseis blackiaNAN,MullerLandauBCI2014,BCI50ha,20150820,3145,3,38.5,23.14100075,28.9
83,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000224,234463,1.29,1.581637127,3.8,1.507964474
84,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,8296,NAN,2.6,6.66,NAN
85,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000221,244208,1.25,1.323501417,3.2,0.141371669
86,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000214,294928,1.3,1.183511724,2.9,NAN
87,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000226,256251,1.3,1.583752506,2.9,0.274889357
88,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,162243,NAN,12.3,13.7,5.725552611
89,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,1015,NAN,25.7,19.91,NAN
90,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,181417,NAN,9.1,10.17,8.761587752
91,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,3867,NAN,22.9,10.6,NAN
92,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000405,101526,1.32,1.751713447,2.8,NAN
93,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,5431,NAN,13.7,15.39,NAN
94,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,4201,NAN,19.5,19.61,NAN
95,alsebl,Alseis blackiaNAN,MullerLandauBCI2014,BCI50ha,20150926,5956,3.75,55.4,20.00200081,53.7
96,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,191782,NAN,1.2,2.4,0.180955737
97,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,5540,NAN,53.8,31.76,NAN
98,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,170931,NAN,11.7,15.78,NAN
99,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,263548,NAN,12.5,14.3,NAN
100,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,4175,NAN,1.1,2.27,NAN
101,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,7227,NAN,41,17.5,NAN
102,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,8709,NAN,2,5.1,NAN
103,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,180172,NAN,11,13.4,NAN
104,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000221,405713,1.35,1.568719223,1.45,0.09424778
105,alsebl,Alseis blackiaNAN,MullerLandauBCI2014,BCI50ha,20151002,2994,1.3,52.4,23.00799942,102.2
106,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,2994,NAN,52.4,23.7,NAN
107,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,6202,NAN,34.4,28.9,72.98673717
108,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,47079,NAN,1,1.6,NAN
109,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,210830,NAN,4.2,7.86,2.216707776
110,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,873,NAN,64,29.8,NAN
111,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000219,198938,1.3,1.186286643,2.95,NAN
112,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,7799,NAN,33.1,21.1,NAN
113,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000218,193190,1.32,1.43594986,3.2,NAN
114,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000223,242773,1.3,1.469926529,1.6,NAN
115,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,4937,NAN,12.5,13.39,NAN
116,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,8387,NAN,6.9,9.4,NAN
117,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,1213,NAN,35.3,23.52,NAN
118,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,211610,NAN,12.6,14.5,NAN
119,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,10618,NAN,3.7,5.29,NAN
120,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,5891,NAN,42.7,23.3,NAN
121,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000304,207048,1.29,1.377905657,1.75,0.424115008
122,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,10071,NAN,4.4,7.3,NAN
123,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,2508,NAN,41.5,22.22,NAN
124,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,181278,NAN,9.5,12.11,14.79344565
125,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,191,NAN,29.6,18.46,NAN
126,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000221,3132,1.17,1.385045126,3.1,1.024944603
127,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,8683,NAN,2.1,5.2,NAN
128,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,4831,NAN,42.3,25.2,NAN
129,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000422,547087,1.29,1.072037313,2.45,0.088357293
130,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,99474,NAN,24,13.2,NAN
131,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,1886,NAN,26.4,18.36,NAN
132,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000210,547962,1.31,1.164792256,2.52,NAN
133,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,4538,NAN,46,21.71,39.81528865
134,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,4538,NAN,46.7,24.8,NAN
135,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,11377,NAN,7.3,6.2,NAN
136,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,6310,NAN,3.3,7.52,NAN
137,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,11992,NAN,1.1,3.71,NAN
138,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,191810,NAN,1.6,3.48,0.34211944
139,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,165993,NAN,1.3,2.8,0.282743339
140,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,47241,NAN,1.2,3.5,NAN
141,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,173,NAN,26.5,17.7,NAN
142,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,166022,NAN,2.3,4.52,1.130973355
143,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,47242,NAN,1.2,2.95,NAN
144,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,242466,NAN,24,20.3,NAN
145,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000309,424136,1.29,1.116055554,2.65,0.439822972
146,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,585,NAN,60.8,26.27,NAN
147,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,3145,NAN,38.5,17.9,NAN
148,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,2681,NAN,49.2,18,NAN
149,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,222218,NAN,12.2,10.4,NAN
150,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000225,3146,1.31,1.084435337,2.9,NAN
151,alsebl,Alseis blackiaNAN,MullerLandauBCI2014,BCI50ha,20150617,2326,3,57.1,28.20199966,79
152,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,10604,NAN,1.1,3.62,NAN
153,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,2326,NAN,57.1,27.1,NAN
154,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,2013,NAN,46.6,25.75,NAN
155,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,240553,NAN,23.2,19.7,NAN
156,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,8209,NAN,48,19.7,NAN
157,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,2689,NAN,25.3,16,NAN
158,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,7625,NAN,60.8,22.9,NAN
159,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,1214,NAN,30.1,19.84,NAN
160,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,136170,NAN,13.4,12.8,NAN
161,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,11952,NAN,3,5.06,NAN
162,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,9613,NAN,8,12.39,NAN
163,alsebl,Alseis blackiaNAN,MullerLandauBCI2014,BCI50ha,20150920,165783,3,28.5,29.97100067,48.4
164,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,4189,NAN,3.4,6.35,NAN
165,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,7717,NAN,47.5,21.7,NAN
166,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,8400,NAN,2,5.04,NAN
167,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,1283,NAN,69.6,29.3,NAN
168,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,4092,NAN,18.2,12.24,NAN
169,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,7914,NAN,41.8,22.3,NAN
170,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,8840,NAN,3.5,7.8,NAN
171,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,2415,NAN,29.2,21.46,NAN
172,alsebl,Alseis blackiaNAN,MullerLandauBCI2014,BCI50ha,20150428,6466,5.2,71.2,26.48900032,122
173,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,6466,NAN,71.2,29.5,NAN
174,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000223,266387,1.31,1.124139226,2.55,0.865901475
175,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,4871,NAN,27.1,20.2,NAN
176,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,7686,NAN,1.3,3.85,NAN
177,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,1034,NAN,44.5,26.5,NAN
178,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,10156,NAN,1,2.68,NAN
179,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,5540,NAN,49.2,22.9,NAN
180,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,170909,NAN,6.2,6.24,0.849486654
181,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,10445,NAN,1.1,3.54,NAN
182,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,2521,NAN,21.9,19.46,NAN
183,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,6085,NAN,2.7,7.22,NAN
184,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,9202,NAN,2.2,5.52,NAN
185,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,4039,NAN,13.5,16.01,NAN
186,alsebl,Alseis blackiaNAN,MullerLandauBCI2014,BCI50ha,20150521,2680,2.7,35.7,21.10499954,40.6
187,alsebl,Alseis blackiaNAN,MullerLandauBCI2014,BCI50ha,20150521,2681,2.5,49.2,19.94499969,79.8
188,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,46899,NAN,5,9.5,NAN
189,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,1164,NAN,43.5,19.67,NAN
190,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000223,404209,1.3,1.927700184,5,NAN
191,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,169,NAN,42,19.5,NAN
192,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,1111,NAN,37.6,25.3,NAN
193,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,5931,NAN,18.3,16.99,NAN
194,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,1013,NAN,24.4,15.26,NAN
195,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,4219,NAN,16.4,13.24,NAN
196,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,108172,NAN,11.2,12,NAN
197,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,155582,NAN,16.1,16.2,NAN
198,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000228,3178,0.75,0.720980582,1.15,0.215984495
199,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,9532,NAN,1.1,2.42,NAN
200,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,8817,NAN,3,3.44,NAN
201,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,158673,NAN,19.5,16,NAN
202,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,7069,NAN,1.6,3.83,NAN
203,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,5209,NAN,26.5,16.28,11.94590607
204,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,10380,NAN,1.7,4.58,NAN
205,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,6183,NAN,1.9,4.9,NAN
206,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,47654,NAN,1.3,3.04,NAN
207,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000223,269518,1.25,1.334746792,3.45,0.09424778
208,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000223,269556,1.29,1.127348216,2.95,NAN
209,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,779,NAN,51.7,30.9,NAN
210,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000302,3187,1.3,2.05785568,3.3,1.099557429
211,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,5234,NAN,46.6,26.4,NAN
212,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,9556,NAN,3.2,6.62,NAN
213,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,6672,NAN,1,3,NAN
214,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,170871,NAN,1.8,2.92,1.020703453
215,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,6113,NAN,17,16.01,NAN
216,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,5214,NAN,38,28.8,NAN
217,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,5643,NAN,16.8,14.14,NAN
218,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,165952,NAN,21.6,19.7,NAN
219,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,5956,NAN,55.4,24.1,NAN
220,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,6581,NAN,28.6,23.15,61.65344167
221,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,3612,NAN,52.1,27.8,NAN
222,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,3120,NAN,37.4,21.2,NAN
223,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,1139,NAN,45.6,21.19,NAN
224,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,3438,NAN,49.2,19.2,NAN
225,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000228,3169,1.23,1.374978909,3,0.903207888
226,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,1437,NAN,49.8,18.01,NAN
227,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000221,3124,1.31,1.551712602,3.4,NAN
228,alsebl,Alseis blackiaNAN,WrightBCI2007,BCI50ha,NAN,7096,NAN,71.6,27.22087348,135.0566842
229,alsebl,Alseis blackiaNAN,WrightBCI2007,BCI50ha,NAN,1609,NAN,83,28.26261853,90.17252525
230,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,8977,NAN,4.8,9,NAN
231,alsebl,Alseis blackiaNAN,MullerLandauBCI2000,BCI50ha,NAN,359,NAN,48.1,29.5,NAN
232,alsebl,Alseis blackiaNAN,SpiroBCI1993,BCI50ha,NAN,6211,NAN,27.9,27.19,53.84564145
233,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,4743,NAN,16.2,16.84,NAN
234,alsebl,Alseis blackiaNAN,WrightGigante1998,Gigante,NAN,1903,NAN,25.9,21.89,NAN
235,alsebl,Alseis blackiaNAN,MullerLandauBCI1996,BCI50ha,20000225,3148,1.2,0.681465333,1.65,NAN
